TableName,MeasureName,DisplayFolder,State,ErrorMessage,ModifiedTime,Expression
"Measures Table","Client Has Expiring Project","Variable / Flags","Ready","",2025-08-11T04:46:00.636667,"VAR SelectedMonthEnd = EOMONTH(SELECTEDVALUE('Dim Date'[Month Start Date]), 0) RETURN CALCULATE(COUNTROWS('FACT Budgeted Harvest Hours'), FILTER('FACT Budgeted Harvest Hours', NOT ISBLANK('FACT Budgeted Harvest Hours'[End Date]) && 'FACT Budgeted Harvest Hours'[End Date] >= TODAY() && 'FACT Budgeted Harvest Hours'[End Date] <= SelectedMonthEnd))"
"Measures Table","SelectedWeek","Variable / Flags","Ready","",2025-08-11T04:35:57.32,"SELECTEDVALUE('SelectWeek'[Weeks])"
"Measures Table","#TicketsSY","Count(#)","SemanticError","Cannot find table 'FACT Zendesk Tickets'.",2025-08-26T23:27:21.836667,"(DISTINCTCOUNT('FACT Zendesk Tickets'[Ticket Id]))"
"Measures Table","#TicketsPY","Count(#)","SemanticError","Cannot find table 'FACT Zendesk Tickets'.",2025-08-26T23:27:21.836667,"CALCULATE( DISTINCTCOUNT('FACT Zendesk Tickets'[Ticket Id]), SAMEPERIODLASTYEAR('Dim Date'[Date]))"
"Measures Table","ReopenedTicketPY%","Ratio","DependencyError","This expression refers to a Measure object named 'Measures Table[ReopenedTicket%]', which has an error.",2025-08-26T23:27:21.836667,"CALCULATE([ReopenedTicket%],SAMEPERIODLASTYEAR('Dim Date'[Date]))"
"Measures Table","Hours Used PY","Harvest Hours","Ready","",2025-08-11T04:45:51.216667,"CALCULATE([Hours Used],SAMEPERIODLASTYEAR('Dim Date'[Date]))"
"Measures Table","M360 Remaining Hours%","Ratio","Ready","",2025-08-11T04:34:43.35,"DIVIDE([M360 Remaining Hours],sum('Dim Harvest Projects'[Harvest Hours]))"
"Measures Table","ZendeskTicketCount","Count(#)","SemanticError","Cannot find table 'FACT Zendesk Tickets'.",2025-08-26T23:27:21.836667,"COUNTROWS(RELATEDTABLE('FACT Zendesk Tickets'))"
"Measures Table","ClientFilter","Variable / Flags","Ready","",2025-08-11T04:43:38.483333,"COUNTROWS(RELATEDTABLE('FACT Time Entries'))"
"Measures Table","Support Hours","Harvest Hours","Ready","",2025-08-11T04:44:12.653333,"Sum('FACT Budgeted Harvest Hours'[Harvest Hours])"
"Measures Table","LowerBound","Variable / Flags","Ready","",2025-08-11T04:35:13.013333,"0"
"Measures Table","#TicketsCYTrend","Count(#)","SemanticError","Cannot find table 'FACT Zendesk Tickets'.",2025-08-26T23:27:21.836667,"CALCULATE( DISTINCTCOUNT('FACT Zendesk Tickets'[Ticket Id]), FILTER( ALL('Dim Date'), 'Dim Date'[Year] = SELECTEDVALUE('Dim Date'[Year]) && 'Dim Date'[Month] = MAX('Dim Date'[Month]) ) )"
"Measures Table","Remaining Hours Actual","Forecast","Ready","",2025-08-20T23:41:42.77,"Var SelectedMonthStart = MAX('Dim Date'[Month Start Date]) Var FirstUsedDate= CALCULATE( MIN('Dim Date'[Date]), FILTER( ALL('Dim Date'), CALCULATE(SUM('FACT Time Entries'[Hours])) > 0 ) ) RETURN IF(SelectedMonthStart >= FirstUsedDate && SelectedMonthStart<TODAY(), [Support Hours]-[Cumulative Hours Used] ,blank())"
"Measures Table","Avg Hours Per Active Month","Forecast","Ready","",2025-08-18T07:28:32.226667,"AVERAGEX( FILTER( SUMMARIZE( 'Dim Date', 'Dim Date'[Month Start Date], \"MonthlyUsed\", CALCULATE(SUM('FACT Time Entries'[Hours])) ), [MonthlyUsed] > 0 ), [MonthlyUsed] )"
"Measures Table","Cumulative Forecast From Today","Forecast","Ready","",2025-08-18T07:43:27.976667,"VAR CurrentMonth = MAX('Dim Date'[Month Start Date]) VAR StartMonth = EOMONTH(TODAY(),0) RETURN CALCULATE( SUMX( FILTER( ALL('Dim Date'[Month Start Date]), 'Dim Date'[Month Start Date] >= StartMonth && 'Dim Date'[Month Start Date] <= CurrentMonth ), [Forecasted Hours Used] ) )"
"Measures Table","Remaining Hours Forecast","Forecast","Ready","",2025-08-18T23:30:36.416667,"VAR Allocated = MAX('FACT Budgeted Harvest Hours'[Harvest Hours]) VAR LastActualMonth = CALCULATE( MAX('Dim Date'[Month Start Date]), 'Dim Date'[Month Start Date] < EOMONTH(TODAY(),0) ) VAR LastActualRemaining = CALCULATE( [Support Hours]-[Cumulative Hours Used], 'Dim Date'[Month Start Date] = LastActualMonth ) VAR AvgPerMonth = [Forecasted Hours Used] VAR MonthsFromToday = DATEDIFF(TODAY(), MAX('Dim Date'[Month Start Date]), MONTH) RETURN IF( MAX('Dim Date'[Month Start Date]) >= EOMONTH(TODAY(),0), MAX(0, LastActualRemaining - [Cumulative Forecast From Today]) )"
"Measures Table","Cumulative Hours Used","Forecast","Ready","",2025-08-18T23:29:38.39,"CALCULATE( SUM('FACT Time Entries'[Hours]), FILTER( ALL('Dim Date'), 'Dim Date'[Date] <= MAX('Dim Date'[Date]) ) )"
"Measures Table","HoursUsed_Forecast_Slope_pValue","Forecast","Ready","",2025-08-25T05:34:49.336667,"VAR ActualsStartDate = CALCULATE( MINX(FILTER(ALL('Dim Date'), [Hours Used] <> BLANK()), 'Dim Date'[Date]) ) VAR MonthlyData = CALCULATETABLE( ADDCOLUMNS( VALUES('Dim Date'[Month Start Date]), \"HoursUsed\", COALESCE([Hours Used], 0), \"MonthIndex\", DATEDIFF(ActualsStartDate, 'Dim Date'[Month Start Date], MONTH) + 1 ), ALL('Dim Date') ) VAR Stats = LINESTX(MonthlyData, [HoursUsed], [MonthIndex]) VAR Slope = MAXX(Stats, [Slope1]) VAR Intercept = MAXX(Stats, [Intercept]) VAR Residuals = ADDCOLUMNS( MonthlyData, \"Residual\", [HoursUsed] - (Slope * [MonthIndex] + Intercept) ) VAR n = COUNTROWS(MonthlyData) VAR xMean = AVERAGEX(MonthlyData, [MonthIndex]) VAR SumSqX = SUMX(MonthlyData, ([MonthIndex] - xMean)^2) VAR ResidualSS = SUMX(Residuals, [Residual]^2) VAR SE_Slope = SQRT(ResidualSS / (n - 2)) / SQRT(SumSqX) VAR tSlope = Slope / SE_Slope VAR pValue = T.DIST.2T(ABS(tSlope), n - 2) RETURN pValue"
"Measures Table","pvalue","Forecast","Ready","",2025-08-26T04:41:54.67,"IF([HoursUsed_Forecast_Slope_pValue]<0.05,\"<0.05\",\">0.05\")"
